Model:,EDU-X 1002A,,Time (s),1 (VOLT),
,,,-0.99776,0.024938439251855,
,,,-0.99772,0.0209183393744752,
,,,-0.99768,0.025742459227331,
,,,-0.99764,0.026546479202807,
,,,-0.9976,0.0144861795706674,
,,,-0.99756,0.0136821595951915,
,,,-0.99752,0.0136821595951915,
,,,-0.99748,0.00162185996305197,
,,,-0.99744,-0.00239823991432786,
,,,-0.9974,-0.00802637974265963,
,,,-0.99736,-0.00963441969361156,
,,,-0.99732,-0.0208906993502751,
,,,-0.99728,-0.0200866793747991,
,,,-0.99724,-0.0265188391786069,
,,,-0.9972,-0.024106779252179,
,,,-0.99716,-0.0257148192031309,
,,,-0.99712,-0.0144585395464674,
,,,-0.99708,-0.0216947193257511,
,,,-0.99704,-0.0152625595219433,
,,,-0.997,-0.00481029984075576,
,,,-0.99696,1.38200121000409E-05,
,,,-0.99692,0.00644597981590778,
,,,-0.99688,0.0136821595951915,
,,,-0.99684,0.0209183393744752,
,,,-0.9968,0.0144861795706674,
,,,-0.99676,0.0193102994235232,
,,,-0.99672,0.025742459227331,
,,,-0.99668,0.0201143193989992,
,,,-0.99664,0.0177022594725713,
,,,-0.9966,0.0144861795706674,
,,,-0.99656,0.0177022594725713,
,,,-0.99652,0.00322989991400391,
,,,-0.99648,0.00242587993852794,
,,,-0.99644,-0.0088303997181356,
,,,-0.9964,-0.0088303997181356,
,,,-0.99636,-0.0160665794974193,
,,,-0.99632,-0.0192826593993232,
,,,-0.99628,-0.0200866793747991,
,,,-0.99624,-0.024106779252179,
,,,-0.9962,-0.0321469790069386,
,,,-0.99616,-0.0249107992276549,
,,,-0.99612,0.00483793986495584,
,,,-0.99608,-0.0152625595219433,
,,,-0.99604,-0.0112424596445635,
,,,-0.996,-0.00802637974265963,
,,,-0.99596,-0.00239823991432786,
,,,-0.99592,0.00885803974233568,
,,,-0.99588,0.00162185996305197,
,,,-0.99584,0.0128781396197155,
,,,-0.9958,0.0168982394970953,
,,,-0.99576,0.024938439251855,
,,,-0.99572,0.024134419276379,
,,,-0.99568,0.024134419276379,
,,,-0.99564,0.0185062794480473,
,,,-0.9956,0.0193102994235232,
,,,-0.99556,0.0112700996687636,
,,,-0.99552,0.00805401976685971,
,,,-0.99548,-0.000790199963375926,
,,,-0.99544,-0.00239823991432786,
,,,-0.9954,-0.0088303997181356,
,,,-0.99536,-0.00802637974265963,
,,,-0.99532,-0.0176746194483712,
,,,-0.99528,-0.0208906993502751,
,,,-0.99524,-0.0353630589088425,
,,,-0.9952,-0.0265188391786069,
,,,-0.99516,-0.0168705994728953,
,,,-0.99512,-0.0216947193257511,
,,,-0.99508,-0.0249107992276549,
,,,-0.99504,-0.0112424596445635,
,,,-0.995,-0.00561431981623173,
,,,-0.99496,-0.000790199963375926,
,,,-0.99492,0.00483793986495584,
,,,-0.99488,0.026546479202807,
,,,-0.99484,0.0160942195216194,
,,,-0.9948,0.024938439251855,
,,,-0.99476,0.024134419276379,
,,,-0.99472,0.025742459227331,
,,,-0.99468,0.0160942195216194,
,,,-0.99464,0.0233303993009031,
,,,-0.9946,0.0185062794480473,
,,,-0.99456,0.0144861795706674,
,,,-0.99452,0.00644597981590778,
,,,-0.99448,0.00564195984043181,
,,,-0.99444,-0.00722235976718366,
,,,-0.9944,-0.0104384396690875,
,,,-0.99436,-0.0136545195709914,
,,,-0.99432,-0.0128504995955154,
,,,-0.99428,-0.022498739301227,
,,,-0.99424,-0.023302759276703,
,,,-0.9942,-0.024106779252179,
,,,-0.99416,-0.023302759276703,
,,,-0.99412,-0.0176746194483712,
,,,-0.99408,-0.0160665794974193,
,,,-0.99404,-0.00802637974265963,
,,,-0.994,-0.0088303997181356,
,,,-0.99396,1.38200121000409E-05,
,,,-0.99392,0.0112700996687636,
,,,-0.99388,-0.000790199963375926,
,,,-0.99384,0.0201143193989992,
,,,-0.9938,0.0305665790801868,
,,,-0.99376,0.0554911983199418,
,,,-0.99372,0.0201143193989992,
,,,-0.99368,0.0160942195216194,
,,,-0.99364,0.0289585391292349,
,,,-0.9936,0.0177022594725713,
,,,-0.99356,0.0104660796932876,
,,,-0.99352,0.0104660796932876,
,,,-0.99348,0.00162185996305197,
,,,-0.99344,-0.00561431981623173,
,,,-0.9934,-0.0168705994728953,
,,,-0.99336,-0.0208906993502751,
,,,-0.99332,-0.00802637974265963,
,,,-0.99328,0.00403391988947988,
,,,-0.99324,-0.024106779252179,
,,,-0.9932,-0.0257148192031309,
,,,-0.99316,-0.0249107992276549,
,,,-0.99312,-0.0160665794974193,
,,,-0.99308,-0.00320225988980383,
,,,-0.99304,-0.00802637974265963,
,,,-0.993,-0.0120464796200395,
,,,-0.99296,-0.0088303997181356,
,,,-0.99292,0.0128781396197155,
,,,-0.99288,0.0160942195216194,
,,,-0.99284,0.0185062794480473,
,,,-0.9928,0.0185062794480473,
,,,-0.99276,0.0273504991782829,
,,,-0.99272,0.0281545191537589,
,,,-0.99268,0.0217223593499511,
,,,-0.99264,0.0201143193989992,
,,,-0.9926,0.0168982394970953,
,,,-0.99256,0.0136821595951915,
,,,-0.99252,0.00805401976685971,
,,,-0.99248,0.00885803974233568,
,,,-0.99244,-0.00159421993885189,
,,,-0.9924,-0.0088303997181356,
,,,-0.99236,-0.0216947193257511,
,,,-0.99232,-0.024106779252179,
,,,-0.99228,-0.0184786394238472,
,,,-0.99224,-0.0281268791295588,
,,,-0.9922,-0.024106779252179,
,,,-0.99216,-0.0192826593993232,
,,,-0.99212,-0.0168705994728953,
,,,-0.99208,-0.00802637974265963,
,,,-0.99204,-0.0112424596445635,
,,,-0.992,-0.00561431981623173,
,,,-0.99196,-0.00159421993885189,
,,,-0.99192,-0.000790199963375926,
,,,-0.99188,0.0185062794480473,
,,,-0.99184,0.0136821595951915,
,,,-0.9918,0.0185062794480473,
,,,-0.99176,0.0193102994235232,
,,,-0.99172,0.0297625591047108,
,,,-0.99168,0.026546479202807,
,,,-0.99164,0.0160942195216194,
,,,-0.9916,0.0185062794480473,
,,,-0.99156,0.0152901995461434,
,,,-0.99152,0.0128781396197155,
,,,-0.99148,0.00885803974233568,
,,,-0.99144,-0.00802637974265963,
,,,-0.9914,-0.000790199963375926,
,,,-0.99136,-0.00963441969361156,
,,,-0.99132,-0.0208906993502751,
,,,-0.99128,-0.0200866793747991,
,,,-0.99124,-0.0208906993502751,
,,,-0.9912,-0.0257148192031309,
,,,-0.99116,-0.023302759276703,
,,,-0.99112,-0.0112424596445635,
,,,-0.99108,-0.0176746194483712,
,,,-0.99104,-0.0152625595219433,
,,,-0.991,0.000817839987576008,
,,,-0.99096,-0.00481029984075576,
,,,-0.99092,0.00966205971781164,
,,,-0.99088,0.00162185996305197,
,,,-0.99084,0.0136821595951915,
,,,-0.9908,0.024134419276379,
,,,-0.99076,0.0273504991782829,
,,,-0.99072,0.0193102994235232,
,,,-0.99068,0.0289585391292349,
,,,-0.99064,0.0185062794480473,
,,,-0.9906,0.0128781396197155,
,,,-0.99056,0.0152901995461434,
,,,-0.99052,0.00564195984043181,
,,,-0.99048,0.00162185996305197,
,,,-0.99044,-0.00159421993885189,
,,,-0.9904,-0.00481029984075576,
,,,-0.99036,-0.0112424596445635,
,,,-0.99032,-0.0120464796200395,
,,,-0.99028,-0.0216947193257511,
,,,-0.99024,-0.0297349190805107,
,,,-0.9902,-0.0273228591540828,
,,,-0.99016,-0.022498739301227,
,,,-0.99012,-0.0152625595219433,
,,,-0.99008,-0.0088303997181356,
,,,-0.99004,-0.0120464796200395,
,,,-0.99,-0.00481029984075576,
,,,-0.98996,0.00403391988947988,
,,,-0.98992,0.00966205971781164,
,,,-0.98988,0.0152901995461434,
,,,-0.98984,0.0144861795706674,
,,,-0.9898,0.0233303993009031,
,,,-0.98976,0.0225263793254271,
,,,-0.98972,0.024134419276379,
,,,-0.98968,0.0337826589820907,
,,,-0.98964,0.0273504991782829,
,,,-0.9896,0.0193102994235232,
,,,-0.98956,0.0201143193989992,
,,,-0.98952,0.0120741196442395,
,,,-0.98948,0.000817839987576008,
,,,-0.98944,-0.00481029984075576,
,,,-0.9894,-0.00802637974265963,
,,,-0.98936,-0.0128504995955154,
,,,-0.98932,-0.0136545195709914,
,,,-0.98928,-0.0176746194483712,
,,,-0.98924,-0.023302759276703,
,,,-0.9892,-0.0200866793747991,
,,,-0.98916,-0.024106779252179,
,,,-0.98912,-0.0216947193257511,
,,,-0.98908,-0.0136545195709914,
,,,-0.98904,-0.0144585395464674,
,,,-0.989,-0.00320225988980383,
,,,-0.98896,0.000817839987576008,
,,,-0.98892,0.00966205971781164,
,,,-0.98888,0.0168982394970953,
,,,-0.98884,0.0225263793254271,
,,,-0.9888,0.025742459227331,
,,,-0.98876,0.0233303993009031,
,,,-0.98872,0.0233303993009031,
,,,-0.98868,0.0273504991782829,
,,,-0.98864,0.0201143193989992,
,,,-0.9886,0.0168982394970953,
,,,-0.98856,0.0160942195216194,
,,,-0.98852,0.0144861795706674,
,,,-0.98848,0.000817839987576008,
,,,-0.98844,-0.00481029984075576,
,,,-0.9884,-0.0088303997181356,
,,,-0.98836,-0.0144585395464674,
,,,-0.98832,-0.0216947193257511,
,,,-0.98828,-0.0216947193257511,
,,,-0.98824,-0.0216947193257511,
,,,-0.9882,-0.0249107992276549,
,,,-0.98816,-0.0184786394238472,
,,,-0.98812,-0.0168705994728953,
,,,-0.98808,-0.0176746194483712,
,,,-0.98804,-0.00963441969361156,
,,,-0.988,-0.0104384396690875,
,,,-0.98796,0.00805401976685971,
,,,-0.98792,0.0136821595951915,
,,,-0.98788,0.0185062794480473,
,,,-0.98784,0.0120741196442395,
,,,-0.9878,0.0209183393744752,
,,,-0.98776,0.0305665790801868,
,,,-0.98772,0.0297625591047108,
,,,-0.98768,0.024938439251855,
,,,-0.98764,0.0217223593499511,
,,,-0.9876,0.0185062794480473,
,,,-0.98756,0.0177022594725713,
,,,-0.98752,0.0201143193989992,
,,,-0.98748,0.00162185996305197,
,,,-0.98744,0.00242587993852794,
,,,-0.9874,-0.00722235976718366,
,,,-0.98736,-0.0104384396690875,
,,,-0.98732,-0.0152625595219433,
,,,-0.98728,-0.0289308991050348,
,,,-0.98724,-0.0168705994728953,
,,,-0.9872,-0.0184786394238472,
,,,-0.98716,-0.0216947193257511,
,,,-0.98712,-0.0152625595219433,
,,,-0.98708,-0.0160665794974193,
,,,-0.98704,-0.0144585395464674,
,,,-0.987,-0.00400627986527979,
,,,-0.98696,-0.00159421993885189,
,,,-0.98692,0.0128781396197155,
,,,-0.98688,0.0104660796932876,
,,,-0.98684,0.0120741196442395,
,,,-0.9868,0.024134419276379,
,,,-0.98676,0.0217223593499511,
,,,-0.98672,0.0281545191537589,
,,,-0.98668,0.025742459227331,
,,,-0.98664,0.024938439251855,
,,,-0.9866,0.0185062794480473,
,,,-0.98656,0.0144861795706674,
,,,-0.98652,0.00805401976685971,
,,,-0.98648,0.0120741196442395,
,,,-0.98644,-0.0104384396690875,
,,,-0.9864,-0.00802637974265963,
,,,-0.98636,-0.0176746194483712,
,,,-0.98632,-0.0160665794974193,
,,,-0.98628,-0.0208906993502751,
,,,-0.98624,-0.022498739301227,
,,,-0.9862,-0.0176746194483712,
,,,-0.98616,-0.0216947193257511,
,,,-0.98612,-0.0216947193257511,
,,,-0.98608,-0.0136545195709914,
,,,-0.98604,-0.00641833979170769,
,,,-0.986,0.00322989991400391,
,,,-0.98596,0.00162185996305197,
,,,-0.98592,0.0136821595951915,
,,,-0.98588,0.026546479202807,
,,,-0.98584,0.0193102994235232,
,,,-0.9858,0.0209183393744752,
,,,-0.98576,0.024938439251855,
,,,-0.98572,0.0233303993009031,
,,,-0.98568,0.025742459227331,
,,,-0.98564,0.0201143193989992,
,,,-0.9856,0.0185062794480473,
,,,-0.98556,0.0136821595951915,
,,,-0.98552,0.0104660796932876,
,,,-0.98548,0.00724999979138374,
,,,-0.98544,0.00564195984043181,
,,,-0.9854,-0.00802637974265963,
,,,-0.98536,-0.0128504995955154,
,,,-0.98532,-0.0168705994728953,
,,,-0.98528,-0.0176746194483712,
,,,-0.98524,-0.023302759276703,
,,,-0.9852,-0.0152625595219433,
,,,-0.98516,-0.0216947193257511,
,,,-0.98512,-0.0160665794974193,
,,,-0.98508,-0.0104384396690875,
,,,-0.98504,-0.0160665794974193,
,,,-0.985,-0.00481029984075576,
,,,-0.98496,0.000817839987576008,
,,,-0.98492,0.00644597981590778,
,,,-0.98488,0.00724999979138374,
,,,-0.98484,0.0152901995461434,
,,,-0.9848,0.024134419276379,
,,,-0.98476,0.0225263793254271,
,,,-0.98472,0.0297625591047108,
,,,-0.98468,0.0209183393744752,
,,,-0.98464,0.025742459227331,
,,,-0.9846,0.0104660796932876,
,,,-0.98456,0.0152901995461434,
,,,-0.98452,0.0144861795706674,
,,,-0.98448,0.00403391988947988,
,,,-0.98444,0.000817839987576008,
,,,-0.9844,-0.0088303997181356,
,,,-0.98436,-0.00722235976718366,
,,,-0.98432,-0.0168705994728953,
,,,-0.98428,-0.0216947193257511,
,,,-0.98424,-0.0249107992276549,
,,,-0.9842,-0.0184786394238472,
,,,-0.98416,-0.0200866793747991,
,,,-0.98412,-0.0168705994728953,
,,,-0.98408,-0.0128504995955154,
,,,-0.98404,-0.0088303997181356,
,,,-0.984,0.00162185996305197,
,,,-0.98396,0.00805401976685971,
,,,-0.98392,0.00483793986495584,
,,,-0.98388,0.025742459227331,
,,,-0.98384,0.0144861795706674,
,,,-0.9838,0.026546479202807,
,,,-0.98376,0.0201143193989992,
,,,-0.98372,0.0289585391292349,
,,,-0.98368,-0.0257148192031309,
,,,-0.98364,0.0168982394970953,
,,,-0.9836,0.00805401976685971,
,,,-0.98356,0.0104660796932876,
,,,-0.98352,0.00644597981590778,
,,,-0.98348,-0.0120464796200395,
,,,-0.98344,-0.00320225988980383,
,,,-0.9834,-0.0160665794974193,
,,,-0.98336,-0.0192826593993232,
,,,-0.98332,-0.0184786394238472,
,,,-0.98328,-0.0192826593993232,
,,,-0.98324,-0.0297349190805107,
,,,-0.9832,-0.0216947193257511,
,,,-0.98316,-0.047423358540982,
,,,-0.98312,-0.0160665794974193,
,,,-0.98308,-0.0088303997181356,
,,,-0.98304,-0.00802637974265963,
,,,-0.983,0.000817839987576008,
,,,-0.98296,0.000817839987576008,
,,,-0.98292,0.00644597981590778,
,,,-0.98288,0.0112700996687636,
,,,-0.98284,0.0144861795706674,
,,,-0.9828,0.026546479202807,
,,,-0.98276,0.024938439251855,
,,,-0.98272,0.026546479202807,
,,,-0.98268,0.026546479202807,
,,,-0.98264,0.0193102994235232,
,,,-0.9826,0.0217223593499511,
,,,-0.98256,0.00885803974233568,
,,,-0.98252,0.00644597981590778,
,,,-0.98248,0.00564195984043181,
,,,-0.98244,-0.00400627986527979,
,,,-0.9824,-0.00802637974265963,
,,,-0.98236,-0.0128504995955154,
,,,-0.98232,-0.0208906993502751,
,,,-0.98228,-0.0345590389333665,
,,,-0.98224,-0.0273228591540828,
,,,-0.9822,-0.023302759276703,
,,,-0.98216,-0.0273228591540828,
,,,-0.98212,-0.0160665794974193,
,,,-0.98208,-0.0160665794974193,
,,,-0.98204,-0.00802637974265963,
,,,-0.982,-0.0088303997181356,
,,,-0.98196,0.00322989991400391,
,,,-0.98192,0.00724999979138374,
,,,-0.98188,0.0128781396197155,
,,,-0.98184,0.0185062794480473,
,,,-0.9818,0.0209183393744752,
,,,-0.98176,0.0193102994235232,
,,,-0.98172,0.0152901995461434,
,,,-0.98168,0.024134419276379,
,,,-0.98164,0.0152901995461434,
,,,-0.9816,0.0112700996687636,
,,,-0.98156,0.0104660796932876,
,,,-0.98152,0.00322989991400391,
,,,-0.98148,0.00403391988947988,
,,,-0.98144,-0.00481029984075576,
